Parcel Number,Assessor's Parcel Number (APN),Parcel Address
1,56389420000,"1825 Cora Avenue St. Louis, MO"
2,36199060000,"3010 N Newstead Avenue St. Louis, MO"
3,44639410000,"4461 Elmbank Avenue St. Louis, MO"
4,44489165000,"4519 Lexington Avenue St. Louis, MO"
5,37109380000,"4615 Labadie Avenue St. Louis, MO"
6,36209520000,"4327 Labadie Avenue St. Louis, MO"
7,37689050000,"4926 Page Boulevard St. Louis, MO"
8,37749345000,"4599 Page Boulevard St. Louis, MO"
9,44729270000,"4649 N Market Street St. Louis, MO"
10,36039020000,"4236 Sacramento Avenue St. Louis, MO"
11,37709390000,"1219 Bayard Avenue St. Louis, MO"
12,56389490000,"1803 Cora Avenue St. Louis, MO"
13,37039060000,"4438 N Market Street St. Louis, MO"
14,48479110000,"5207 Kensington Avenue St. Louis, MO"
15,37169640000,"4577 Cottage Avenue St. Louis, MO"
16,37179680000,"4615 Saint Ferdinand Avenue St. Louis, MO"
17,37149420000,"4547 Maffitt Avenue St. Louis, MO"
18,35419130000,"2104 Harris Avenue St. Louis, MO"
19,48399110000,"5052 Cates Avenue St. Louis, MO"
20,44629110000,"4528 Ashland Avenue St. Louis, MO"
21,37719490000,"1151 Walton Avenue St. Louis, MO"
22,48999058000,"4016 Carter Avenue St. Louis, MO"
23,37179530000,"4565 Saint Ferdinand Avenue St. Louis, MO"
24,36189050000,"4458 Elmbank Avenue St. Louis, MO"
25,48469130000,"5206 Kensington Avenue St. Louis, MO"
26,37109340000,"4549 Labadie Avenue St. Louis, MO"
27,37859050000,"1336 N Euclid Avenue St. Louis, MO"
28,37629140000,"912 Bayard Avenue St. Louis, MO"
29,44489420000,"4541 Ashland Avenue St. Louis, MO"
30,37109085000,"4651 Labadie Avenue St. Louis, MO"
